id,item_id,name,url,brand,category,price,msrp,review_score,review_count,cereal,cold_cereal,day,cereal_order,cold_cereal_order,image
1236,447727981,GreenMax (Mayushan) (Yam ; Black Sesame Instant Cereal 3 Pack) + One NineChef Spoon,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FGreenMax-Mayushan-Yam-amp-Black-Sesame-Instant-Cereal-3-Pack-One-NineChef-Spoon%2F447727981%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,"",Food > Breakfast & Cereal > Cold Cereal,30.99,,,,,t,1,,1012,https://i5.walmartimages.com/asr/b4c1d036-b973-4250-acf2-20b4663f73a7_1.5525ac010bac76bfac06859daa4f1a7e.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
10,10789576,"Kellogg's Frosted Mini-Wheats Bite Size Cereal, 24 Oz",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Frosted-Mini-Wheats-Bite-Size-Cereal-24-Oz%2F10789576%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,3.68,,4.741,139,t,t,1,10,4,https://i5.walmartimages.com/asr/3cb91906-4e5f-4bc5-ac5d-d03bbf640468_1.d4f862b1a1152ac771129cdd91970a12.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
5,10411377,Lucky Charms Gluten Free Cereal 16 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FLucky-Charms-Gluten-Free-Cereal-16-oz-Box%2F10411377%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Lucky Charms,Food > Breakfast & Cereal > Cold Cereal,2.98,3.28,4.721,223,t,t,1,5,50,https://i5.walmartimages.com/asr/31b71a06-7313-4791-a1ba-ca9356dc9c55_1.0f717c6cb7e4fe475a65683a640a5b79.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
14,32286720,Post Cocoa Pebbles Sweetened Rice Cereal 40 oz. Bag,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FPost-Cocoa-Pebbles-Sweetened-Rice-Cereal-40-oz-Bag%2F32286720%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Post,Food > Breakfast & Cereal > Cold Cereal,5.98,,4.622,44,t,t,1,14,60,https://i5.walmartimages.com/asr/7caed466-2076-486c-9409-53bd82a7247e_1.08cbcb23e1ab423372f60df11aaaf24b.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
4,25847977,Cinnamon Toast Crunch Cereal 23.6 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FCinnamon-Toast-Crunch-Cereal-23-6-oz-Box%2F25847977%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cinnamon Toast Crunch,Food > Breakfast & Cereal > Cold Cereal,5.69,,4.736,84,t,t,1,4,2,https://i5.walmartimages.com/asr/1687f5b5-430b-4c94-bacb-a53171307f7a_1.ee69d618206111a6d56db12520b1b6ec.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
8,32286719,"Post Fruity Pebbles Sweetened Rice Cereal Super Value!, 40 oz",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FPost-Fruity-Pebbles-Sweetened-Rice-Cereal-Super-Value-40-oz%2F32286719%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Post,Food > Breakfast & Cereal > Cold Cereal,5.98,,4.565,85,t,t,1,8,67,https://i5.walmartimages.com/asr/7a39a980-d8fb-4411-9870-70251216f5a8_1.9aa120bf5fb1549dbe5a167b11606083.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
15,33426025,Chocolate Cheerios™ Cereal 22 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FChocolate-Cheerios-Cereal-22-oz-Box%2F33426025%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cheerios,Food > Breakfast & Cereal > Cold Cereal,3.64,3.98,4.549,100,t,t,1,15,42,https://i5.walmartimages.com/asr/ac8efe44-5b8d-47b5-b3e4-f71295f54422_1.e73f3ee0075c6ef5d72b922384919dfd.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
18,35044567,Post® Grape-Nuts® The Original Non-GMO Cereal 29 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FPost-Grape-Nuts-The-Original-Non-GMO-Cereal-29-oz-Box%2F35044567%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Post,Food > Breakfast & Cereal > Cold Cereal,3.98,,4.808,67,t,t,1,18,59,https://i5.walmartimages.com/asr/e8a71c25-b50b-4a69-afd8-19b329ce46ca_1.3553819ae434335503ff033e2b88a16b.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
17,25847989,Honey Nut Cheerios Medley Crunch Cereal 22.5 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FHoney-Nut-Cheerios-Medley-Crunch-Cereal-22-5-oz-Box%2F25847989%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cheerios,Food > Breakfast & Cereal > Cold Cereal,3.64,3.98,4.365,62,t,t,1,17,137,https://i5.walmartimages.com/asr/feaecaf1-81bc-4970-9550-8a4092c571e9_1.d8f04b3c7f64971ca7c09a7ccaf710da.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
6,25875665,Kellogg's Frosted Mini-Wheats Giant Size Original Cereal 36 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Frosted-Mini-Wheats-Giant-Size-Original-Cereal-36-oz-Box%2F25875665%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,4.68,,4.903,112,t,t,1,6,12,https://i5.walmartimages.com/asr/c569d299-2b62-43ab-b074-c5ed3650724d_1.f663247844d6ac96cda333283b949bd2.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
13,14869857,Cookie Crisp™ Chocolate Chip Cookie Flavored Cereal 19.8 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FCookie-Crisp-Chocolate-Chip-Cookie-Flavored-Cereal-19-8-oz-Box%2F14869857%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cookie Crisp,Food > Breakfast & Cereal > Cold Cereal,3.64,3.92,4.833,30,t,t,1,13,63,https://i5.walmartimages.com/asr/73542e91-3b88-45f2-b21a-2bc19b90a3ef_1.e1555e0e23385e83b9c2d997f4082948.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
